ID	Info	Cofactors	Codes	
R_R00742	[('dG0', '-7.5'), ('dG0_uncertainty', '1.5'), ('ec-code', '6.4.1.2'), ('kegg-reaction', 'R00742')]	Biotin	C00120	
R_R00344	[('dG0', '-5.6'), ('dG0_uncertainty', '0.7'), ('ec-code', '6.4.1.1'), ('kegg-reaction', 'R00344')]	Biotin, Zn2+	C00120, C00038	
R_R03083	[('dG0', '-168.0'), ('dG0_uncertainty', '6.0'), ('ec-code', '4.2.3.4'), ('kegg-reaction', 'R03083')]	Co2+, NAD+	C00175, C00003	
R_R00402	[('dG0', '-60.4'), ('dG0_uncertainty', '2.1'), ('ec-code', '1.3.1.6'), ('kegg-reaction', 'R00402')]	FAD	C00016	
R_R07168	[('dG0', '-43.0'), ('dG0_uncertainty', '4.0'), ('ec-code', '1.5.1.20'), ('kegg-reaction', 'R07168')]	FAD	C00016	
R_R01195	[('dG0', '-16.0'), ('dG0_uncertainty', '6.0'), ('ec-code', '1.18.1.2'), ('kegg-reaction', 'R01195')]	FAD	C00016	
R_R01291	[('dG0', '-33.0'), ('dG0_uncertainty', '2.7'), ('ec-code', '4.4.1.21'), ('kegg-reaction', 'R01291')]	Fe2+	C14818	
R_R03898	[('dG0', '8.8'), ('dG0_uncertainty', '2.8'), ('ec-code', '4.2.1.35'), ('kegg-reaction', 'R03898')]	Fe2+	C14818	
R_R03896	[('dG0', '9.4'), ('dG0_uncertainty', '2.4'), ('ec-code', '4.2.1.35'), ('kegg-reaction', 'R03896')]	Fe2+	C14818	
R_R01325	[('dG0', '-8.4'), ('dG0_uncertainty', '1.1'), ('ec-code', '4.2.1.3'), ('kegg-reaction', 'R01325')]	Fe4S4	Fe4S4	
R_R01900	[('dG0', '1.6'), ('dG0_uncertainty', '1.1'), ('ec-code', '4.2.1.3'), ('kegg-reaction', 'R01900')]	Fe4S4	Fe4S4	
R_R10392	[('dG0', '0.4'), ('dG0_uncertainty', '1.9'), ('ec-code', '4.2.1.114'), ('kegg-reaction', 'R10392')]	Fe4S4	Fe4S4	
R_R10395	[('dG0', '0.4'), ('dG0_uncertainty', '1.9'), ('ec-code', '4.2.1.114'), ('kegg-reaction', 'R10395')]	Fe4S4	Fe4S4	
R_R10393	[('dG0', '3.7'), ('dG0_uncertainty', '1.9'), ('ec-code', '4.2.1.114'), ('kegg-reaction', 'R10393')]	Fe4S4	Fe4S4	
R_R10396	[('dG0', '3.7'), ('dG0_uncertainty', '1.9'), ('ec-code', '4.2.1.114'), ('kegg-reaction', 'R10396')]	Fe4S4	Fe4S4	
R_R11580	[('dG0', 'nan'), ('dG0_uncertainty', 'nan'), ('ec-code', '2.1.1.272'), ('kegg-reaction', 'R11580')]	Fe4S4	Fe4S4	
R_R03968	[('dG0', '0.4'), ('dG0_uncertainty', '1.9'), ('ec-code', '4.2.1.33'), ('kegg-reaction', 'R03968')]	Fe4S4	Fe4S4	
R_R04001	[('dG0', '3.7'), ('dG0_uncertainty', '1.9'), ('ec-code', '4.2.1.33'), ('kegg-reaction', 'R04001')]	Fe4S4	Fe4S4	
R_R03444	[('dG0', '0.4'), ('dG0_uncertainty', '1.9'), ('ec-code', '4.2.1.114,4.2.1.-'), ('kegg-reaction', 'R03444')]	Fe4S4	Fe4S4	
R_R04371	[('dG0', '1.2'), ('dG0_uncertainty', '2.9'), ('ec-code', '4.2.1.36,4.2.1.114'), ('kegg-reaction', 'R04371')]	Fe4S4	Fe4S4	
R_R09394	[('dG0', 'nan'), ('dG0_uncertainty', 'nan'), ('ec-code', '4.1.99.22'), ('kegg-reaction', 'R09394')]	Fe4S4	Fe4S4	MoaA
R_R04292	[('dG0', '-218.0'), ('dG0_uncertainty', '4.0'), ('ec-code', '2.5.1.72'), ('kegg-reaction', 'R04292')]	Fe4S4	Fe4S4	
R_R10246	[('dG0', 'nan'), ('dG0_uncertainty', 'nan'), ('ec-code', '4.1.99.19'), ('kegg-reaction', 'R10246')]	Fe4S4	Fe4S4	
