Reaction ID,EC#,Uncertainty,dG0,Reagents,Products
R00258,2.6.1.2,0.5,-0.2,"['C00022 ', ' C00025 ']","[' C00041 ', ' C00026']"
R00400,2.6.1.12,0.7,2.6,"['C00022 ', ' C00049 ']","[' C00041 ', ' C00036']"
R00369,2.6.1.44,1.6,8.4,"['C00022 ', ' C00037 ']","[' C00041 ', ' C00048']"
R00396,1.4.1.1,0.5,-18.4,"['C00022 ', ' C00014 ', ' C00004 ', ' C00080 ']","[' C00041 ', ' C00003 ', ' C00001']"
R09107,3.5.1.16,4.0,-44.0,"['C15532 ', ' C00001 ']","[' C00033 ', ' C00327']"
R00259,2.3.1.1,3.4,-23.7,"['C00024 ', ' C00025 ']","[' C00010 ', ' C00624']"
R07245,2.1.3.9,4.0,-10.0,"['C00169 ', ' C00437 ']","[' C00009 ', ' C15532']"
R02283,2.6.1.11,3.4,3.0,"['C01250 ', ' C00025 ']","[' C00437 ', ' C00026']"
R03443,1.2.1.38,1.6,-24.1,"['C04133 ', ' C00005 ', ' C00080 ']","[' C01250 ', ' C00009 ', ' C00006']"
R02649,2.7.2.8,3.1,24.3,"['C00002 ', ' C00624 ']","[' C00008 ', ' C04133']"
R00149,6.3.4.16,4.0,-2.0,"['2 C00002 ', ' C00014 ', ' C00011 ', ' C00001 ']","[' 2 C00008 ', ' C00009 ', ' C00169']"
R00551,3.5.3.1,6.0,-51.0,"['C00062 ', ' C00001 ']","[' C00077 ', ' C00086']"
R01954,6.3.4.5,1.5,0.0,"['C00002 ', ' C00327 ', ' C00049 ']","[' C00020 ', ' C00013 ', ' C03406']"
R01398,2.1.3.3,2.9,-29.9,"['C00169 ', ' C00077 ']","[' C00009 ', ' C00327']"
R01086,4.3.2.1,2.9,-6.0,['C03406 '],"[' C00122 ', ' C00062']"
R00669,"3.5.1.14,3.5.1.16",3.5,-24.4,"['C00437 ', ' C00001 ']","[' C00033 ', ' C00077']"
R00578,6.3.5.4,4.0,-53.0,"['C00002 ', ' C00049 ', ' C00064 ', ' C00001 ']","[' C00020 ', ' C00013 ', ' C00152 ', ' C00025']"
R00483,"6.3.1.1,6.3.5.4",4.0,-21.0,"['C00002 ', ' C00049 ', ' C00014 ']","[' C00020 ', ' C00013 ', ' C00152']"
R00482,6.3.1.4,3.5,-10.6,"['C00002 ', ' C00049 ', ' C00014 ']","[' C00008 ', ' C00009 ', ' C00152']"
R00355,2.6.1.1,0.5,-2.8,"['C00036 ', ' C00025 ']","[' C00049 ', ' C00026']"
R01135,6.3.4.4,2.1,3.5,"['C00044 ', ' C00130 ', ' C00049 ']","[' C00035 ', ' C00009 ', ' C03794']"
R00127,2.7.4.3,0.16,-0.12,"['C00002 ', ' C00020 ']",[' 2 C00008']
R01083,4.3.2.2,1.4,-1.4,['C03794 '],"[' C00122 ', ' C00020']"
R00200,2.7.1.40,0.4,-26.8,"['C00008 ', ' C00074 ']","[' C00002 ', ' C00022']"
R00333,2.7.4.10,,,"['C00201 ', ' C00020 ']","[' C00454 ', ' C00008']"
R03182,6.3.3.3,7.0,10.0,"['C00002 ', ' C01037 ', ' C00011 ']","[' C00008 ', ' C00009 ', ' C01909']"
R03231,2.6.1.62,5e-12,-0.709176020668,"['C00019 ', ' C01092 ']","[' C04425 ', ' C01037']"
R10699,2.6.1.105,1.8,5.9,"['C00047 ', ' C01092 ']","[' C04076 ', ' C01037']"
R01626,"2.3.1.39,2.3.1.85,2.3.1.86,2.3.1.-",,,"['C00083 ', ' C00229 ']","[' C00010 ', ' C01209']"
R09543,2.1.1.197,,,"['C00019 ', ' C01209 ']","[' C00021 ', ' C19673']"
R10115,"2.3.1.41,2.3.1.179",,,"['C19673 ', ' C01209 ']","[' C20372 ', ' C00011 ', ' C00229']"
R10116,1.1.1.100,,,"['C20372 ', ' C00005 ', ' C00080 ']","[' C20373 ', ' C00006']"
R10117,4.2.1.59,,,['C20373 '],"[' C20374 ', ' C00001']"
R10118,1.3.1.10,,,"['C20374 ', ' C00005 ', ' C00080 ']","[' C20375 ', ' C00006']"
R10119,"2.3.1.41,2.3.1.179",,,"['C20375 ', ' C01209 ']","[' C20376 ', ' C00011 ', ' C00229']"
R10120,1.1.1.100,,,"['C20376 ', ' C00005 ', ' C00080 ']","[' C20377 ', ' C00006']"
R10121,4.2.1.59,,,['C20377 '],"[' C20378 ', ' C00001']"
R10122,1.3.1.10,,,"['C20378 ', ' C00005 ', ' C00080 ']","[' C19846 ', ' C00006']"
R09725,3.1.1.85,,,"['C19846 ', ' C00001 ']","[' C19845 ', ' C00132']"
R10124,2.3.1.47,,,"['C19845 ', ' C00041 ']","[' C01092 ', ' C00229 ', ' C00011']"
R01078,2.8.1.6,,,"['C01909 ', ' C17023 ', ' 2 C00019 ', ' 2 C05359 ', ' 2 C00080 ']","[' C00120 ', ' 2 C00073 ', ' 2 C05198']"
R10866,1.2.7.-,,,"['C00024 ', ' C00011 ', ' C02745 ']","[' C00022 ', ' C00010 ', ' C02869']"
R10092,4.2.1.1,3.1,-5.9,"['C00011 ', ' C00001 ']","[' C00288 ', ' C00080']"
R00742,6.4.1.2,1.5,-7.5,"['C00002 ', ' C00024 ', ' C00288 ']","[' C00008 ', ' C00009 ', ' C00083']"
R00199,2.7.9.2,0.5,-18.5,"['C00002 ', ' C00022 ', ' C00001 ']","[' C00020 ', ' C00074 ', ' C00009']"
R00345,4.1.1.31,3.1,-38.3,"['C00001 ', ' C00074 ', ' C00011 ']","[' C00009 ', ' C00036']"
