Id,Name,Compartment,InitialConcentration,Charge,ChemicalFormula,Dbases
M_i_C00024,Acetyl-CoA,i,1,0,C23H38N7O17P3S,
M_i_C00083,Malonyl-CoA,i,1,0,C24H38N7O19P3S,
M_i_C01209,Malonyl-ACP,i,1,0,C14H25N2O10PSPr,
M_i_C00229,ACP,i,1,0,C11H23N2O7PSPr,
M_i_C05744,Acetoacetyl-ACP,i,1,0,C15H27N2O9PSPr,CHEBI 2393
M_i_C04618,3 hydroxy-butanoyl-ACP,i,1,0,C15H29N2O9PSPr,
M_i_C04246,But-2-enoyl-ACP,i,1,0,C15H27N2O8PSPr,
M_i_C05745,Butyryl-ACP,i,1,0,C15H29N2O8PSPr,
M_i_C05746,3-oxo-hexanoyl-ACP,i,1,0,C17H31N2O9PSPr,
M_i_C05747,3-hydroxy-hexanoyl-ACP,i,1,0,C17H33N2O9PSPr,
M_i_C05748,trans-hex-2-enoyl-ACP,i,1,0,C17H31N2O8PSPr,
M_i_C05749,Hexanoyl-ACP,i,1,0,C17H33N2O8PSPr,
M_i_C05750,3-oxo-octanoyl-ACP,i,1,0,C19H35N2O9PSPr,
M_i_C04620,3-hydroxy-octanoyl-ACP,i,1,0,C19H37N2O9PSPr,
M_i_C05751,Trans-oct-2-enoyl-ACP,i,1,0,C19H35N2O8PSPr,
M_i_C05752,Octanoyl-ACP,i,1,0,C19H37N2O8PSPr,
M_i_C05753,3-oxo-decanoyl-ACP,i,1,0,C21H39N2O9PSPr,
M_i_C04619,3-hydroxy-decanoyl-ACP,i,1,0,C21H41N2O9PSPr,
M_i_C05754,Trans-dec-2-enoyl-ACP,i,1,0,C21H39N2O8PSPr,
M_i_C05755,Decanoyl-ACP,i,1,0,C21H41N2O8PSPr,
M_i_C05756,3-oxo-dodecanoyl-ACP,i,1,0,C23H43N2O9PSPr,CHEBI 1637
M_i_C05757,3-hydroxy-dodecanoyl-ACP,i,1,0,C23H45N2O9PSPr,
M_i_C05758,Trans-dodec-2-enoyl-ACP,i,1,0,C23H43N2O8PSPr,
M_i_C05223,Dodecanoyl-ACP,i,1,0,C23H45N2O8PSPr,
M_i_C05759,3-oxo-tetradecanoyl-ACP,i,1,0,C25H47N2O9PSPr,
M_i_C04688,3-hydroxy-tetradecanoyl-ACP,i,1,0,C25H49N2O9PSPr,
M_i_C05760,Trans-tetradec-2-enoyl-ACP,i,1,0,C25H47N2O8PSPr,
M_i_C05761,Tetradecanoyl-ACP,i,1,0,C25H49N2O8PSPr,
M_i_C05762,3-oxo-hexadecanoyl-ACP,i,1,0,C27H51N2O9PSPr,
M_i_C04633,3-hydroxy-hexadecanoyl-ACP,i,1,0,C27H53N2O9PSPr,
M_i_C05763,Trans-hexadec-2-enoyl-ACP,i,1,0,C27H51N2O8PSPr,
M_i_C05764,Hexadecanoyl-ACP,i,1,0,C27H53N2O8PSPr,
M_i_C00001,Water,i,55000,0,H2O,
M_i_C00010,Coenzyme A,i,1,0,C21H36N7O16P3S,
M_i_C00011,CO2,i,1,0,CO2,
M_i_C00005,NADPH,i,1,0,C21H30N7O17P3,
M_i_C00006,NADP+,i,1,1,C21H29N7O17P3,
M_i_C00080,H+,i,0.0001,1,H,
