Id,Name,Reagents,Products,Modifiers,GeneRules,EC,FreeEnergy,Dbases
R_i_R01626,,M_i_C00083 M_i_C00229,M_i_C01209 M_i_C00010,,FabD,2.3.1.39,,RHEA 41795 kegg-reaction R01626
R_i_R10707,,M_i_C01209 M_i_C00024,M_i_C05744 M_i_C00010 M_i_C00011,M_i_C00010,FabH,2.3.1.180,,RHEA 12063
R_i_R04533,,M_i_C05744 M_i_C00005 M_i_C00080,M_i_C04618 M_i_C00006,,FabG,1.1.1.100,,
R_i_R04428,,M_i_C04618,M_i_C04246 M_i_C00001,,FabA,2.3.1.85,,
R_i_R04430,,M_i_C04246 M_i_C00005 M_i_C00080,M_i_C05745 M_i_C00006,,FabI,1.3.1.10,,
R_i_R04952,,M_i_C05745 M_i_C01209,M_i_C00011 M_i_C00229 M_i_C05746,M_i_C00229,FabB,2.3.1.41,,
R_i_R04953,,M_i_C05746 M_i_C00005 M_i_C00080,M_i_C05747 M_i_C00006,,FabG,1.1.1.100,,
R_i_R04954,,M_i_C05747,M_i_C05748 M_i_C00001,,FabA,2.3.1.85,,
R_i_R04956,,M_i_C05748 M_i_C00005 M_i_C00080,M_i_C05749 M_i_C00006,,FabI,1.3.1.10,,
R_i_R04957,,M_i_C05749 M_i_C01209,M_i_C00011 M_i_C00229 M_i_C05750,,FabB,2.3.1.41,,
R_i_R04536,,M_i_C05750 M_i_C00005 M_i_C00080,M_i_C04620 M_i_C00006,,FabG,1.1.1.100,,
R_i_R04537,,M_i_C04620,M_i_C05751 M_i_C00001,,FabA,2.3.1.85,,
R_i_R04959,,M_i_C05751 M_i_C00005 M_i_C00080,M_i_C05752 M_i_C00006,,FabI,1.3.1.10,,
R_i_R04960,,M_i_C05752 M_i_C01209,M_i_C00011 M_i_C00229 M_i_C05753,,FabB,2.3.1.41,,
R_i_R04534,,M_i_C05753 M_i_C00005 M_i_C00080,M_i_C04619 M_i_C00006,,FabG,1.1.1.100,,
R_i_R04535,,M_i_C04619,M_i_C05754 M_i_C00001,,FabA,2.3.1.85,,RHEA 41863
R_i_R04962,,M_i_C05754 M_i_C00005 M_i_C00080,M_i_C05755 M_i_C00006,,FabI,1.3.1.10,,
R_i_R04963,,M_i_C05755 M_i_C01209,M_i_C00011 M_i_C00229 M_i_C05756,,FabB,2.3.1.41,,
R_i_R04964,,M_i_C05756 M_i_C00005 M_i_C00080,M_i_C05757 M_i_C00006,,FabG,1.1.1.100,,
R_i_R04965,,M_i_C05757,M_i_C05758 M_i_C00001,,FabA,2.3.1.85,,
R_i_R04725,,M_i_C05758 M_i_C00005 M_i_C00080,M_i_C05223 M_i_C00006,,FabI,1.3.1.10,,
R_i_R04726,,M_i_C05223 M_i_C01209,M_i_C00011 M_i_C00229 M_i_C05759,,FabB,2.3.1.41,,
R_i_R04556,,M_i_C05759 M_i_C00005 M_i_C00080,M_i_C04688 M_i_C00006,,FabG,1.1.1.100,,
R_i_R04568,,M_i_C04688,M_i_C05760 M_i_C00001,,FabA,2.3.1.85,,
R_i_R04967,,M_i_C05760 M_i_C00005 M_i_C00080,M_i_C05761 M_i_C00006,,FabI,1.3.1.10,,
R_i_R04968,,M_i_C05761 M_i_C01209,M_i_C00011 M_i_C00229 M_i_C05762,,FabB,2.3.1.41,,
R_i_R04543,,M_i_C05762 M_i_C00005 M_i_C00080,M_i_C04633 M_i_C00006,,FabG,1.1.1.100,,
R_i_R04544,,M_i_C04633,M_i_C05763 M_i_C00001,,FabA,2.3.1.85,,
R_i_R04970,,M_i_C05763 M_i_C00005 M_i_C00080,M_i_C05764 M_i_C00006,,FabI,1.3.1.10,,
