Id,Name,Compartment,InitialConcentration,Charge,ChemicalFormula,Dbases
M_i_C04628,Coenzyme B,i,1,0,C11H22NO7PS
M_i_C03576,Coenzyme M,i,1,0,C2H6O3S2
M_i_C04832,CoM CoB heterodisulfide,i,1,0,C13H26NO10PS3
M_i_C03920,Methyl CoM,i,1,0,C3H8O3S2
M_i_C01217,Tetrahydromethanopterin H4MPT,i,1,0,C30H45N6O16P
M_i_C00862,Methanofuran,C34H44N4O15
M_i_C01001,Formyl Methanofuran,C35H44N4O16
M_i_C01274,N5 Formyl H4MPT,C31H45N6O17P
M_i_C04330,N5N10 Methenyl H4MPT,C31H44N6O16P
M_i_C04377,N5N10 Methylene H4MPT,C31H45N6O16P
M_i_C04488,N5 Methyl H4MPT,C31H47N6O16P
M_i_C00876,Coenzyme F420 (oxidised),C29H36N5O18P
M_i_C01080,Coenzyme F420 (reduced),C29H38N5O18P
M_i_C00011,CO2,i,1,0,CO2,
M_i_C00138w,Wolfe Cycle Ferredoxin (reduced),i,1,0,Fe2S2Pr,
M_i_C00139w,Wolfe Cycle Ferredoxin (oxidized),i,1,0,Fe2S2Pr,
