Id,Name,Reagents,Products,Modifiers,GeneRules,EC,FreeEnergy,Dbases
R_i_R07157,,M_i_C00011 2 M_i_C00080 2 M_i_C00138,M_i_C00237 M_i_C00001 2 M_i_C00139,M_i_C00138,,1.2.7.4,,
R_i_R00134,,M_i_C00058 M_i_C00006,M_i_C00011 M_i_C00005 M_i_C00080,,,1.17.1.10,,
R_i_R10234,,M_i_C00440 M_i_C00010 M_i_C00237,M_i_C00024 M_i_C00101,M_i_C00101,,2.1.1.258,,
R_i_R00943,,M_i_C00101 M_i_C00002 M_i_C00058,M_i_C00008 M_i_C00009 M_i_C00234,,,6.3.4.3,,
R_i_R01645,,M_i_C00445 M_i_C00001,M_i_C00234 M_i_C00080,,,3.5.4.9,,
R_i_R01220,,M_i_C00445 M_i_C00005,M_i_C00143 M_i_C00006,,,1.5.1.5,,
R_i_R00768,,M_i_C00143 M_i_C00004 M_i_C00080,M_i_C00440 M_i_C00003,,,1.5.1.20,,
R_i_R03390,MFR H4MPT Formyl transferase,M_i_C01001 M_i_C01217,M_i_C00862 M_i_C01274,,,2.3.1.101,,
R_i_R03015,FormylMFR Ferredoxin oxidoreductase,M_i_C01001 M_i_C00001 M_i_C00139w,M_i_C00138w M_i_C00862 2 M_i_C00080 M_i_C00011,M_i_C00862,,1.2.7.12,,
R_i_R04347,,M_i_C04488 M_i_C03576 2 M_i_C00080,M_i_C01217 M_i_C03920 2 M_o_C00080,,,7.2.1.4,,
R_i_R04541,,M_i_C04628 M_i_C03920,M_i_C04832 M_i_C01438,M_i_C04628,,2.8.4.1,,
R_i_R11931,,M_i_C04628 M_i_C03576 M_i_C00139w,M_i_C00138w 2 M_i_C00080 M_i_C04832,,,1.8.7.3,,
