Id,Name,Compartment,InitialConcentration,Charge,ChemicalFormula,Dbases
M_i_C00024,Acetyl-CoA,i,1,0,C23H38N7O17P3S,
M_i_C00011,CO2,i,1,0,CO2,
M_i_C00237,CO,i,1,0,CO,
M_i_C00058,Formate,i,1,0,CH2O2,
M_i_C00101,Tetra-hydro-folate,i,1,0,C19H23N7O6,
M_i_C00234,10-formyl-tetrahydrofolate,i,1,0,C20H23N7O7,
M_i_C00445,"5,10-methenyl-tetrahydrofolate",i,1,1,C20H22N7O6,
M_i_C00143,"5,10-methylene-tetrahydrofolate",i,1,0,C20H23N7O6,
M_i_C00440,5-methyltetrahydrofolate,i,1,0,C20H25N7O6,
M_i_C00010,Coenzyme A,i,1,0,C21H36N7O16P3S,
M_i_C00003,NAD+,i,1,1,C21H28N7O14P2,
M_i_C00004,NADH,i,1,0,C21H29N7O14P2,
M_i_C00138w,Fe8S8 Ferredoxin (doubly reduced),i,1,16,Fe8S8Pr,
M_i_C00139w,Fe8S8 Ferredoxin (oxidized),i,1,18,Fe8S8Pr,
M_i_C00080,H+,i,0.0001,1,H,
M_i_C00001,Water,i,55000,0,H2O,
M_o_C00080,H+,o,0.01,1,H,
M_i_C00282,Hydrogen,i,1,0,H2,
M_i_C00009,Phosphate,i,1,0,H3PO4,
M_i_C00008,ADP,i,1,0,C10H15N5O10P2,
M_i_C00002,ATP,i,1,0,C10H16N5O13P3,
M_i_C00016,FAD,i,1,0,C27H33N9O15P2,
M_i_C00194,B12,i,1,1,C72H100CoN18O17P,
